新宿区 資源・ごみ収集日一覧 (2026年版),,,,
※収集日の朝8時までに資源・ごみ集積所に出してください。,,,,
,,,,
地域（町名・地番）,地域資源（週1回）,燃やすごみ（週2回）,金属・陶器・ガラスごみ（月2回）,管轄清掃場所
愛住町,木,火・金,2・4土,東
赤城下町,火,月・木,1・3水,東
赤城元町,火,月・木,1・3水,東
揚場町,土,月・木,2・4水,東
荒木町（21～23番地）,木,火・金,2・4土,東
荒木町（上記を除く）,木,火・金,2・4月,東
市谷加賀町1・2丁目,土,月・木,2・4金,東
市谷甲良町,土,月・木,2・4金,東
市谷砂土原町1～3丁目,土,月・木,2・4金,東
市谷左内町,木,火・金,2・4月,東
市谷鷹匠町,土,月・木,2・4金,東
市谷田町1丁目,木,火・金,2・4月,東
市谷田町2・3丁目,土,月・木,2・4金,東
市谷台町（1、3、5、7、9、11、13番）,金,水・土,2・4火,東
市谷台町（上記を除く）,金,水・土,2・4木,東
市谷長延寺町,木,火・金,2・4月,東
市谷仲之町,金,水・土,2・4火,東
市谷八幡町,木,火・金,2・4月,東
市谷船河原町（1、3～8、12、14番地）,土,月・木,2・4金,東
市谷船河原町（上記を除く）,土,月・木,2・4水,東
市谷本村町,木,火・金,2・4月,東
市谷薬王寺町（1～15番）,月,水・土,1・3火,東
市谷薬王寺町（上記を除く）,金,水・土,2・4火,東
市谷柳町（1～7、45、46、48～50番地、47番地の一部）,火,月・木,1・3金,東
市谷柳町（8～11、23～35番地）,月,水・土,1・3火,東
市谷柳町（15～22、37～43番地）,金,水・土,2・4火,東
市谷柳町（47番地の一部）,月,水・土,1・3木,東
市谷山伏町,火,月・木,1・3金,東
岩戸町（1～8番地、25～27番地）,火,月・木,1・3金,東
岩戸町（9番地、11～23番地、10番地の一部）,土,月・木,2・4水,東
岩戸町（10番地の一部）,土,月・木,2・4金,東
榎町（79番地）,月,水・土,1・3火,東
榎町（上記を除く）,火,月・木,1・3金,東
大久保1丁目,土,火・金,1・3木,歌
大久保2･3丁目,木,火・金,1・3月,新
改代町,火,月・木,1・3水,東
神楽河岸,土,月・木,2・4水,東
神楽坂1～4丁目,土,月・木,2・4水,東
神楽坂5丁目（21～24番地）,火,月・木,1・3金,東
神楽坂5丁目（上記を除く）,土,月・木,2・4水,東
神楽坂6丁目（2～39番地）,火,月・木,1・3水,東
神楽坂6丁目（上記を除く）,火,月・木,1・3金,東
霞ヶ丘町,水,火・金,1・3月,東
片町（5番、8番）,金,水・土,2・4火,東
片町（上記を除く）,木,火・金,2・4月,東
歌舞伎町1・2丁目,※,※,※,歌
上落合1丁目,月,水・土,2・4木,新
上落合2･3丁目,月,水・土,1・3火,新
河田町,金,水・土,2・4火,東
喜久井町,月,水・土,1・3木,東
北新宿1丁目,火,月・木,2・4土,歌
北新宿2丁目,月,水・土,2・4木,歌
北新宿3丁目,月,水・土,2・4金,歌
北新宿4丁目,月,水・土,2・4木,新
北町（1～40番地、41番地の一部）,土,月・木,2・4金,東
北町（41番地の一部）,土,月・木,2・4水,東
北山伏町,火,月・木,1・3金,東
細工町,土,月・木,2・4金,東
左門町（1・2番地､6～12番地、16～20番地）,水,火・金,1・3月,東
左門町（上記を除く）,水,火・金,1・3土,東
信濃町（12～34番地）,水,火・金,1・3月,東
信濃町（上記を除く）,水,火・金,1・3土,東
下落合1丁目,金,水・土,1・3木,新
下落合2～4丁目,火,月・木,2・4水,新
下宮比町,土,月・木,2・4水,東
白銀町（12～18番地）,土,月・木,2・4水,東
白銀町（上記を除く）,火,月・木,1・3水,東
新小川町,土,月・木,2・4水,東
新宿1丁目,水,火・金,1・3土,東
新宿2丁目,水,火・金,2・4土,東
新宿3丁目,※,※,※,歌
新宿4丁目,金,※,※,歌
新宿5丁目（1～16番）,水,火・金,1・3月,歌
新宿5丁目（17・18番）,※,※,※,歌
新宿6・7丁目,水,火・金,2・4月,歌
水道町,火,月・木,1・3水,東
須賀町,水,火・金,1・3月,東
住吉町（1・2番）,木,火・金,2・4土,東
住吉町（3・4番）,金,水・土,2・4木,東
住吉町（5～15番）,金,水・土,2・4火,東
大京町,水,火・金,1・3土,東
高田馬場1･2丁目,木,火・金,2・4月,新
高田馬場3･4丁目,金,水・土,2・4火,新
?笥町（1～32番地）,火,月・木,1・3金,東
?笥町（33～43番地、44番地の一部）,土,月・木,2・4金,東
?笥町（44番地の一部）,土,月・木,2・4水,東
築地町,火,月・木,1・3水,東
津久戸町,土,月・木,2・4水,東
筑土八幡町（1番）,土,月・木,2・4水,東
筑土八幡町（上記を除く）,火,月・木,1・3水,東
天神町（63～85番地）,火,月・木,1・3金,東
天神町（上記を除く）,火,月・木,1・3水,東
戸塚町1丁目,水,火・金,2・4土,新
富久町（8・9番）,木,火・金,2・4土,東
富久町（上記を除く）,金,水・土,2・4木,東
戸山1・3丁目,水,火・金,2・4土,新
戸山2丁目,木,火・金,2・4月,新
内藤町,木,火・金,2・4土,東
中井1・2丁目,月,水・土,1・3火,新
中落合1・2丁目,火,月・木,1・3金,新
中落合3丁目,土,月・木,1・3金,新
中落合4丁目,土,月・木,1・3水,新
中里町,火,月・木,1・3水,東
中町,土,月・木,2・4金,東
納戸町,土,月・木,2・4金,東
西落合1丁目,土,月・木,1・3水,新
西落合2～4丁目,土,月・木,2・4金,新
西五軒町,火,月・木,1・3水,東
西新宿1丁目,※,※,※,歌
西新宿2・3丁目,木,水・土,1・3月,歌
西新宿4丁目,木,水・土,1・3金,歌
西新宿5丁目,月,水・土,2・4木,歌
西新宿6丁目,土,月・木,1・3水,歌
西新宿7・8丁目,火,月・木,2・4水,歌
西早稲田1･3丁目,水,火・金,1・3土,新
西早稲田2丁目,水,火・金,2・4土,新
二十騎町,土,月・木,2・4金,東
払方町,土,月・木,2・4金,東
原町1丁目（14～17番地）,金,水・土,2・4火,東
原町1丁目（上記を除く）,月,水・土,1・3木,東
原町2丁目（1～8番地の一部、9～12番地、30～43番地）,金,水・土,2・4火,東
原町2丁目（上記を除く）,月,水・土,1・3木,東
原町3丁目（1～9番地、84～89番地）,金,水・土,2・4火,東
原町3丁目（上記を除く）,月,水・土,1・3木,東
馬場下町（60～63番地）,月,水・土,1・3火,東
馬場下町（上記を除く）,月,水・土,1・3木,東
東榎町,火,月・木,1・3金,東
東五軒町,火,月・木,1・3水,東
百人町1丁目,金,月・木,1・3土,歌
百人町2丁目,土,火・金,1・3水,歌
百人町3・4丁目,金,水・土,1・3木,新
袋町,土,月・木,2・4水,東
舟町（1～6番地）,木,火・金,2・4月,東
舟町（上記を除く）,木,火・金,2・4土,東
弁天町（1～30番地、106～176番地）,月,水・土,1・3木,東
弁天町（32～105番地）,火,月・木,1・3金,東
弁天町（177・178番地）,月,水・土,1・3火,東
南町,土,月・木,2・4金,東
南榎町,火,月・木,1・3金,東
南元町,水,火・金,1・3月,東
南山伏町,土,月・木,2・4金,東
山吹町（1番地、11～21番地、81～131番地、291番地、331番地）,火,月・木,1・3金,東
山吹町（4～7番地、258～270番地、293～318番地）,火,月・木,1・3水,東
山吹町（332～366番地）,月,水・土,1・3火,東
矢来町（1～111番地）,火,月・木,1・3金,東
矢来町（上記を除く）,火,月・木,1・3水,東
横寺町,火,月・木,1・3金,東
余丁町（1～6番）,金,水・土,2・4木,東
余丁町（上記を除く）,金,水・土,2・4火,東
四谷1丁目（1・2番地、6番、9～18番地）,水,火・金,1・3月,東
四谷1丁目（上記を除く）,木,火・金,2・4月,東
四谷2丁目（1番地、4～8番地、11番地、14番地）,水,火・金,1・3月,東
四谷2丁目（上記を除く）,木,火・金,2・4月,東
